tt0035575	Yankee Doodle Dandy	0	1942		126	Biography,Drama,Musical	7.8
tt0036112	The Life and Death of Colonel Blimp	0	1943		163	Drama,Romance,War	8.2
tt0036244	The Ox-Bow Incident	0	1943		75	Drama,Western	8.1
tt0036342	Shadow of a Doubt	0	1943		108	Thriller	8
tt0036613	Arsenic and Old Lace	0	1944		118	Comedy,Crime,Thriller	8
tt0036775	Double Indemnity	0	1944		107	Crime,Drama,Film-Noir	8.3
tt0036855	Gaslight	0	1944		114	Crime,Drama,Film-Noir	7.9
tt0036868	The Best Years of Our Lives	0	1946		170	Drama,Romance,War	8.1
tt0037008	Laura	0	1944		88	Drama,Film-Noir,Mystery	8.1
tt0037017	Lifeboat	0	1944		97	Drama,War	7.8
tt0037059	Meet Me in St. Louis	0	1944		113	Comedy,Drama,Family	7.7
tt0037382	To Have and Have Not	0	1944		100	Adventure,Comedy,Romance	8
tt0037469	The Woman in the Window	0	1944		107	Crime,Drama,Film-Noir	7.8
tt0037515	And Then There Were None	0	1945		97	Crime,Drama,Mystery	7.6
tt0037558	Brief Encounter	0	1945		86	Drama,Romance	8.1
tt0037638	Detour	0	1945		68	Crime,Drama,Film-Noir	7.4
tt0037674	Children of Paradise	0	1945		189	Drama,Romance	8.3
tt0037884	The Lost Weekend	0	1945		101	Drama,Film-Noir	8
tt0037913	Mildred Pierce	0	1945		111	Crime,Drama,Film-Noir	8
tt0038057	Scarlet Street	0	1945		102	Drama,Film-Noir,Thriller	7.9
tt0038109	Spellbound	0	1945		111	Film-Noir,Mystery,Romance	7.6
tt0038348	Beauty and the Beast	0	1946		96	Drama,Fantasy,Romance	8
tt0038355	The Big Sleep	0	1946		114	Crime,Film-Noir,Mystery	8
tt0038559	Gilda	0	1946		110	Drama,Film-Noir,Romance	7.8
tt0038574	Great Expectations	0	1946		118	Adventure,Drama,Mystery	8
tt0038650	It's a Wonderful Life	0	1946		130	Drama,Family,Fantasy	8.6
tt0038669	The Killers	0	1946		103	Crime,Drama,Film-Noir	7.8
tt0038733	Stairway to Heaven	0	1946		104	Comedy,Drama,Fantasy	8.1
tt0038762	My Darling Clementine	0	1946		97	Biography,Drama,Western	7.8
tt0038787	Notorious	0	1946		101	Drama,Film-Noir,Romance	8
tt0038854	The Postman Always Rings Twice	0	1946		113	Crime,Drama,Film-Noir	7.6
tt0038890	Rome, Open City	0	1945		103	Drama,Thriller,War	8.1
tt0038991	The Stranger	0	1946		95	Crime,Drama,Film-Noir	7.4
tt0039190	The Bishop's Wife	0	1947		109	Comedy,Drama,Fantasy	7.6
tt0039192	Black Narcissus	0	1947		101	Drama	8
tt0039302	Dark Passage	0	1947		106	Film-Noir,Thriller	7.6
tt0039416	Gentleman's Agreement	0	1947		118	Drama,Romance	7.4
tt0039420	The Ghost and Mrs. Muir	0	1947		104	Comedy,Drama,Fantasy	7.9
tt0039628	Miracle on 34th Street	0	1947		96	Comedy,Drama,Family	7.9
tt0039631	Monsieur Verdoux	0	1947		124	Comedy,Crime,Drama	8
tt0039689	Out of the Past	0	1947		97	Crime,Drama,Film-Noir	8.1
tt0040068	Abbott and Costello Meet Frankenstein	0	1948		83	Comedy,Fantasy,Horror	7.6
tt0040369	Fort Apache	0	1948		128	Action,Adventure,Western	7.6
tt0040416	Hamlet	0	1948		154	Drama	7.8
tt0040506	Key Largo	0	1948		100	Action,Crime,Drama	7.9
tt0040522	Bicycle Thieves	0	1948		89	Drama	8.3
tt0040525	The Lady from Shanghai	0	1947		87	Crime,Drama,Film-Noir	7.7
tt0040724	Red River	0	1948		133	Action,Adventure,Romance	7.8
tt0040725	The Red Shoes	0	1948		134	Drama,Music,Romance	8.3
tt0040746	Rope	0	1948		80	Crime,Drama,Mystery	8
tt0040897	The Treasure of the Sierra Madre	0	1948		126	Adventure,Drama,Western	8.3
tt0041090	Adam's Rib	0	1949		101	Comedy,Drama,Romance	7.6
tt0041113	All the King's Men	0	1949		110	Drama,Film-Noir	7.6
tt0041154	Late Spring	0	1949		108	Drama	8.3
tt0041452	The Heiress	0	1949		115	Drama,Romance	8.2
tt0041546	Kind Hearts and Coronets	0	1949		106	Comedy,Crime	8.1
tt0041699	Stray Dog	0	1949		122	Crime,Drama,Mystery	7.9
tt0041716	On the Town	0	1949		98	Comedy,Musical,Romance	7.6
tt0041866	She Wore a Yellow Ribbon	0	1949		103	Western	7.4
tt0041959	The Third Man	0	1949		104	Film-Noir,Mystery,Thriller	8.2
tt0041996	Twelve O'Clock High	0	1949		132	Drama,War	7.8
tt0042041	White Heat	0	1949		114	Action,Crime,Drama	8.2
tt0042192	All About Eve	0	1950		138	Drama	8.3
tt0042208	The Asphalt Jungle	0	1950		112	Crime,Drama,Film-Noir	7.9
tt0042332	Cinderella	0	1950		74	Animation,Family,Fantasy	7.3
tt0042546	Harvey	0	1950		104	Comedy,Drama,Fantasy	8
tt0042593	In a Lonely Place	0	1950		94	Drama,Film-Noir,Mystery	8
tt0042804	The Young and the Damned	0	1950		85	Crime,Drama	8.3
tt0042876	Rashomon	0	1950		88	Crime,Drama,Mystery	8.3
tt0042895	Rio Grande	0	1950		105	Romance,Western	7.2
tt0042994	Stage Fright	0	1950		110	Film-Noir,Thriller	7.1
tt0043014	Sunset Boulevard	0	1950		110	Drama,Film-Noir	8.5
tt0043137	Winchester '73	0	1950		92	Action,Drama,Western	7.7
tt0043265	The African Queen	0	1951		105	Adventure,Drama,Romance	7.9
tt0043274	Alice in Wonderland	0	1951		75	Adventure,Animation,Family	7.4
tt0043278	An American in Paris	0	1951		114	Drama,Musical,Romance	7.2
tt0043338	Ace in the Hole	0	1951		111	Drama,Film-Noir	8.2
tt0043456	The Day the Earth Stood Still	0	1951		92	Drama,Sci-Fi	7.8
tt0043924	A Place in the Sun	0	1951		122	Drama,Romance	7.8
tt0043949	Quo Vadis	0	1951		171	Biography,Drama,History	7.2
tt0044008	A Christmas Carol	0	1951		86	Drama,Fantasy	8.1
tt0044079	Strangers on a Train	0	1951		101	Crime,Film-Noir,Thriller	8
tt0044081	A Streetcar Named Desire	0	1951		122	Drama	8
tt0044121	The Thing from Another World	0	1951		87	Horror,Sci-Fi	7.2
tt0044391	The Bad and the Beautiful	0	1952		118	Drama,Romance	7.9
tt0044672	The Greatest Show on Earth	0	1952		152	Drama,Family,Romance	6.7
