tt0033467	nm0000080,nm0005904,nm0173827,nm0001072,nm0002136,nm0542534,nm0448809,nm0001547,nm0002144,nm0219670
tt0033563	nm0112395,nm0082884,nm0001359,nm0414144,nm0059934,nm0455741,nm0272568,nm0730860,nm0035899,nm0789313
tt0033717	nm0309974,nm0453198,nm0006037,nm0122446,nm0001379,nm0909825,nm0447913,nm0193232,nm0000007,nm0526946
tt0033729	nm0515751,nm0187981,nm0953123,nm0682074,nm0587926,nm0000055,nm0000058,nm0000406,nm0496819,nm0242897
tt0033804	nm0388743,nm0319574,nm0000020,nm0001766,nm0657874,nm0002545,nm0002013,nm0428987,nm0005800
tt0033870	nm0313438,nm0000802,nm0006037,nm0000048,nm0001379,nm0724360,nm0358591,nm0249186,nm0000007
tt0033891	nm0000011,nm0175333,nm0001008,nm0000974,nm0696190,nm0006323,nm0175028,nm0001766,nm0728307,nm0036427
tt0034167	nm0151310,nm0948663,nm0864869,nm0001328,nm0001379,nm0462321,nm0277874,nm0000974,nm0000011,nm0504125
tt0034240	nm0795640,nm0218131,nm0000043,nm0103475,nm0566948,nm0913094,nm0005870,nm0319574,nm0002545
tt0034248	nm0365661,nm0720904,nm0115558,nm0075324,nm0362567,nm0000021,nm0710723,nm0000026,nm0000077,nm0000033
tt0034398	nm0461549,nm0000509,nm0001647,nm0884252,nm0929925,nm0000897,nm0001033,nm0802561,nm0448867,nm0905729
tt0034492	nm1027883,nm0066951,nm0018755,nm0035899,nm0359457,nm0373871,nm0730860,nm0017013,nm0019282,nm0766402
tt0034583	nm0019706,nm0462321,nm0258525,nm0258493,nm0002134,nm0122417,nm0000006,nm0002031,nm0000007,nm0001647
tt0034587	nm0869664,nm0002202,nm0507932,nm0002228,nm0709905,nm0808949,nm0007218,nm0733476,nm0800386,nm0090840
tt0034862	nm0000927,nm0391750,nm0001078,nm0083125,nm0723418,nm0197798,nm0492635,nm0762263,nm0000001,nm0721851
tt0035015	nm0392529,nm0005673,nm0000080,nm0608986,nm0850483,nm0182537,nm0281381,nm0000879,nm0001072,nm0936404
tt0035093	nm0682074,nm0296207,nm0385264,nm0934497,nm0835369,nm0943758,nm0921995,nm0926599,nm0942863,nm0002093
tt0035140	nm0000012,nm0909259,nm0005835,nm0732452,nm0710924,nm0000070,nm0002134,nm0698989,nm0001647,nm0178066
tt0035279	nm0472603,nm0365661,nm0884252,nm0000033,nm0662213,nm0804244,nm0062667,nm0896830,nm0485509,nm0191950
tt0035423	nm0005227,nm0000630,nm0000212,nm0413168,nm0107463,nm0238698,nm0448843,nm0737216,nm0465298,nm0003506
tt0035446	nm0817929,nm0006128,nm0107795,nm0001479,nm0523932,nm0562372,nm0821041,nm0501872,nm0005789,nm0000912
tt0035575	nm0258493,nm0404158,nm0430578,nm0258525,nm0002146,nm0002031,nm0118758,nm0504125,nm0000010,nm0926636
tt0036112	nm0906932,nm0515193,nm0336434,nm0003836,nm0696247,nm0000039,nm0191745,nm0005838,nm0780385,nm0432613
tt0036244	nm0573865,nm0920074,nm0000063,nm0587926,nm0873707,nm0888099,nm0400794,nm0000020,nm0000763,nm0006203
tt0036342	nm0000033,nm0942863,nm0804382,nm0001072,nm0871287,nm0568060,nm0720904,nm0136994,nm0928642,nm0072639
tt0036613	nm0450279,nm0000070,nm0000026,nm0485509,nm0557339,nm0007217,nm0001008,nm0258493,nm0258525,nm0005835
tt0036775	nm0000697,nm0056477,nm0000067,nm0534045,nm0005870,nm0001766,nm0000064,nm0151452,nm0128906
tt0036855	nm0394967,nm0281556,nm0926599,nm0358096,nm0002030,nm0001072,nm0000964,nm0000006,nm0886668,nm0049721
tt0036868	nm0005904,nm0545298,nm0000763,nm0006087,nm0001485,nm0942863,nm0326418,nm0943758,nm0437969,nm0792845
tt0037008	nm0695937,nm0000763,nm0488057,nm0237225,nm0718101,nm0916067,nm0388755,nm0143837,nm0001637,nm0000074
tt0037017	nm0532284,nm0842485,nm0825705,nm0000033,nm0000904,nm0000845,nm0388303,nm0805790,nm0372942,nm0006087
tt0037059	nm0107082,nm0525067,nm0072639,nm0277943,nm0106505,nm0639684,nm0591486,nm0000802,nm0000023,nm0373511
tt0037382	nm0002133,nm0299154,nm0150462,nm0001203,nm0001328,nm0000974,nm0000007,nm0000002,nm0010850,nm0602834
tt0037469	nm0000064,nm0557339,nm0107631,nm0000485,nm0425913,nm0909260,nm0000910,nm0486075,nm0005762,nm0288761
tt0037515	nm0005997,nm0005635,nm0280178,nm0629580,nm0950019,nm0371775,nm0404158,nm0163229,nm0002005,nm0542185
