tt0034167	Sergeant York	Sergeant York		134	Biography,Drama,History	7.8	13285
tt0034240	Sullivan's Travels	Sullivan's Travels		90	Adventure,Comedy,Drama	8.1	20223
tt0034248	Suspicion	Suspicion		99	Mystery,Thriller	7.4	26512
tt0034398	The Wolf Man	The Wolf Man		70	Horror	7.4	18968
tt0034492	Bambi	Bambi		70	Animation,Drama,Family	7.3	107143
tt0034583	Casablanca	Casablanca		102	Drama,Romance,War	8.5	434494
tt0034587	Cat People	Cat People		73	Fantasy,Horror,Thriller	7.4	15468
tt0034862	Holiday Inn	Holiday Inn		100	Comedy,Drama,Musical	7.6	10303
tt0035015	The Magnificent Ambersons	The Magnificent Ambersons		88	Drama,Romance	7.9	18414
tt0035093	Mrs. Miniver	Mrs. Miniver		134	Drama,Romance,War	7.6	12925
tt0035140	Now, Voyager	Now, Voyager		117	Drama,Romance	8	12524
tt0035279	Saboteur	Saboteur		109	Thriller,War	7.2	19509
tt0035423	Kate & Leopold	Kate & Leopold		118	Comedy,Fantasy,Romance	6.4	70241
tt0035446	To Be or Not to Be	To Be or Not to Be		99	Comedy,War	8.2	21353
tt0035575	Yankee Doodle Dandy	Yankee Doodle Dandy		126	Biography,Drama,Musical	7.8	12093
tt0036112	The Life and Death of Colonel Blimp	The Life and Death of Colonel Blimp		163	Drama,Romance,War	8.2	10930
tt0036244	The Ox-Bow Incident	The Ox-Bow Incident		75	Drama,Western	8.1	17565
tt0036342	Shadow of a Doubt	Shadow of a Doubt		108	Thriller	8	49958
tt0036613	Arsenic and Old Lace	Arsenic and Old Lace		118	Comedy,Crime,Thriller	8	58498
tt0036775	Double Indemnity	Double Indemnity		107	Crime,Drama,Film-Noir	8.3	112007
tt0036855	Gaslight	Gaslight		114	Crime,Drama,Film-Noir	7.9	19044
tt0036868	The Best Years of Our Lives	The Best Years of Our Lives		170	Drama,Romance,War	8.1	45720
tt0037008	Laura	Laura		88	Drama,Film-Noir,Mystery	8.1	35521
tt0037017	Lifeboat	Lifeboat		97	Drama,War	7.8	22517
tt0037059	Meet Me in St. Louis	Meet Me in St. Louis		113	Comedy,Drama,Family	7.7	16771
tt0037382	To Have and Have Not	To Have and Have Not		100	Adventure,Comedy,Romance	8	25849
tt0037469	The Woman in the Window	The Woman in the Window		107	Crime,Drama,Film-Noir	7.8	10596
tt0037515	And Then There Were None	And Then There Were None		97	Crime,Drama,Mystery	7.6	10350
tt0037558	Brief Encounter	Brief Encounter		86	Drama,Romance	8.1	29156
tt0037638	Detour	Detour		68	Crime,Drama,Film-Noir	7.4	11148
tt0037674	Children of Paradise	Les enfants du paradis		189	Drama,Romance	8.3	15724
tt0037884	The Lost Weekend	The Lost Weekend		101	Drama,Film-Noir	8	28152
tt0037913	Mildred Pierce	Mildred Pierce		111	Crime,Drama,Film-Noir	8	18306
tt0038057	Scarlet Street	Scarlet Street		102	Drama,Film-Noir,Thriller	7.9	11330
tt0038109	Spellbound	Spellbound		111	Film-Noir,Mystery,Romance	7.6	36387
tt0038348	Beauty and the Beast	La belle et la bête		96	Drama,Fantasy,Romance	8	20832
tt0038355	The Big Sleep	The Big Sleep		114	Crime,Film-Noir,Mystery	8	69586
tt0038559	Gilda	Gilda		110	Drama,Film-Noir,Romance	7.8	22859
tt0038574	Great Expectations	Great Expectations		118	Adventure,Drama,Mystery	8	19097
tt0038650	It's a Wonderful Life	It's a Wonderful Life		130	Drama,Family,Fantasy	8.6	319347
tt0038669	The Killers	The Killers		103	Crime,Drama,Film-Noir	7.8	15621
tt0038733	Stairway to Heaven	A Matter of Life and Death		104	Comedy,Drama,Fantasy	8.1	15410
tt0038762	My Darling Clementine	My Darling Clementine		97	Biography,Drama,Western	7.8	18066
tt0038787	Notorious	Notorious		101	Drama,Film-Noir,Romance	8	80082
tt0038854	The Postman Always Rings Twice	The Postman Always Rings Twice		113	Crime,Drama,Film-Noir	7.6	15525
tt0038890	Rome, Open City	Roma città aperta		103	Drama,Thriller,War	8.1	18606
tt0038991	The Stranger	The Stranger		95	Crime,Drama,Film-Noir	7.4	15115
tt0039190	The Bishop's Wife	The Bishop's Wife		109	Comedy,Drama,Fantasy	7.6	11455
tt0039192	Black Narcissus	Black Narcissus		101	Drama	8	17496
tt0039302	Dark Passage	Dark Passage		106	Film-Noir,Thriller	7.6	14402
tt0039416	Gentleman's Agreement	Gentleman's Agreement		118	Drama,Romance	7.4	12333
tt0039420	The Ghost and Mrs. Muir	The Ghost and Mrs. Muir		104	Comedy,Drama,Fantasy	7.9	13063
tt0039628	Miracle on 34th Street	Miracle on 34th Street		96	Comedy,Drama,Family	7.9	34306
tt0039631	Monsieur Verdoux	Monsieur Verdoux		124	Comedy,Crime,Drama	8	12939
tt0039689	Out of the Past	Out of the Past		97	Crime,Drama,Film-Noir	8.1	26475
tt0040068	Abbott and Costello Meet Frankenstein	Bud Abbott Lou Costello Meet Frankenstein		83	Comedy,Fantasy,Horror	7.6	12109
tt0040369	Fort Apache	Fort Apache		128	Action,Adventure,Western	7.6	13792
tt0040416	Hamlet	Hamlet		154	Drama	7.8	12969
tt0040506	Key Largo	Key Largo		100	Action,Crime,Drama	7.9	31564
tt0040522	Bicycle Thieves	Ladri di biciclette		89	Drama	8.3	110337
