43949	Quo Vadis	Quo Vadis	1951	171	11186	7.2
44008	A Christmas Carol	Scrooge	1951	86	16900	8.1
44079	Strangers on a Train	Strangers on a Train	1951	101	107811	8
44081	A Streetcar Named Desire	A Streetcar Named Desire	1951	122	86015	8
44121	The Thing from Another World	The Thing from Another World	1951	87	21220	7.2
44391	The Bad and the Beautiful	The Bad and the Beautiful	1952	118	10947	7.9
44672	The Greatest Show on Earth	The Greatest Show on Earth	1952	152	10688	6.7
44706	High Noon	High Noon	1952	85	86016	8
44741	Ikiru	Ikiru	1952	143	50378	8.3
44829	The Lavender Hill Mob	The Lavender Hill Mob	1951	78	10574	7.7
44837	Limelight	Limelight	1952	137	14989	8.1
44916	Monkey Business	Monkey Business	1952	97	10879	7
45061	The Quiet Man	The Quiet Man	1952	129	29673	7.9
45152	Singin' in the Rain	Singin' in the Rain	1952	103	177224	8.3
45274	Umberto D.	Umberto D.	1952	89	18695	8.2
45555	The Big Heat	The Big Heat	1953	89	18780	8
45793	From Here to Eternity	From Here to Eternity	1953	118	37166	7.7
45810	Gentlemen Prefer Blondes	Gentlemen Prefer Blondes	1953	91	25978	7.2
45888	House of Wax	House of Wax	1953	88	13244	7.1
45891	How to Marry a Millionaire	How to Marry a Millionaire	1953	95	17428	7
45897	I Confess	I Confess	1953	95	16147	7.3
46126	Niagara	Niagara	1953	92	12345	7.1
46187	Pickup on South Street	Pickup on South Street	1953	80	10304	7.8
46250	Roman Holiday	Roman Holiday	1953	118	111525	8.1
46268	The Wages of Fear	Le salaire de la peur	1953	131	41993	8.2
46303	Shane	Shane	1953	118	31303	7.7
46359	Stalag 17	Stalag 17	1953	120	45945	8
46438	Tokyo Story	Tôkyô monogatari	1953	136	35420	8.2
46478	Ugetsu	Ugetsu monogatari	1953	96	16458	8.2
46487	Monsieur Hulot's Holiday	Les vacances de Monsieur Hulot	1953	114	13981	7.6
46521	I Vitelloni	I vitelloni	1953	107	11841	8
46534	The War of the Worlds	The War of the Worlds	1953	85	27775	7.1
46672	20,000 Leagues Under the Sea	20,000 Leagues Under the Sea	1954	127	24422	7.2
46816	The Caine Mutiny	The Caine Mutiny	1954	124	21524	7.8
46876	Creature from the Black Lagoon	Creature from the Black Lagoon	1954	79	20533	7
46911	Diabolique	Les diaboliques	1955	117	49632	8.1
46912	Dial M for Murder	Dial M for Murder	1954	105	125575	8.2
47034	Godzilla	Gojira	1954	96	22037	7.5
47136	Johnny Guitar	Johnny Guitar	1954	110	12650	7.7
47296	On the Waterfront	On the Waterfront	1954	108	116146	8.2
47396	Rear Window	Rear Window	1954	112	362557	8.5
47437	Sabrina	Sabrina	1954	113	49578	7.7
47445	Sansho the Bailiff	Sanshô dayû	1954	124	11519	8.4
47472	Seven Brides for Seven Brothers	Seven Brides for Seven Brothers	1954	102	17899	7.4
47478	Seven Samurai	Shichinin no samurai	1954	207	259267	8.7
47522	A Star Is Born	A Star Is Born	1954	154	11728	7.8
47528	La Strada	La strada	1954	108	50297	8.1
47573	Them!	Them!	1954	94	16606	7.3
47673	White Christmas	White Christmas	1954	120	25546	7.6
47677	The Wild One	The Wild One	1953	79	12496	6.9
47811	All That Heaven Allows	All That Heaven Allows	1955	89	10620	7.7
47849	Bad Day at Black Rock	Bad Day at Black Rock	1955	81	16162	7.8
48021	Rififi	Du rififi chez les hommes	1955	118	21112	8.2
48028	East of Eden	East of Eden	1955	118	33923	8
48140	Guys and Dolls	Guys and Dolls	1955	150	13182	7.2
48254	Killer's Kiss	Killer's Kiss	1955	67	17533	6.7
48261	Kiss Me Deadly	Kiss Me Deadly	1955	106	15509	7.7
48281	The Ladykillers	The Ladykillers	1955	91	22667	7.8
48356	Marty	Marty	1955	90	17615	7.7
48380	Mister Roberts	Mister Roberts	1955	123	13697	7.8
48424	The Night of the Hunter	The Night of the Hunter	1955	92	70865	8
48452	Ordet	Ordet	1955	126	11146	8.2
48473	Pather Panchali	Pather Panchali	1955	125	16863	8.4
48545	Rebel Without a Cause	Rebel Without a Cause	1955	111	71063	7.8
48605	The Seven Year Itch	The Seven Year Itch	1955	105	28623	7.2
48728	To Catch a Thief	To Catch a Thief	1955	106	51884	7.5
48750	The Trouble with Harry	The Trouble with Harry	1955	99	28065	7.2
48960	Around the World in Eighty Days	Around the World in Eighty Days	1956	175	20421	6.8
48977	The Bad Seed	The Bad Seed	1956	129	10714	7.5
49223	Forbidden Planet	Forbidden Planet	1956	98	38387	7.7
49261	Giant	Giant	1956	201	29037	7.7
49314	High Society	High Society	1956	111	11595	7
49366	Invasion of the Body Snatchers	Invasion of the Body Snatchers	1956	80	38087	7.8
49406	The Killing	The Killing	1956	85	68548	8
49408	The King and I	The King and I	1956	133	20869	7.5
49470	The Man Who Knew Too Much	The Man Who Knew Too Much	1956	120	47819	7.5
49513	Moby Dick	Moby Dick	1956	116	14743	7.4
49730	The Searchers	The Searchers	1956	119	68729	8
49833	The Ten Commandments	The Ten Commandments	1956	220	53120	7.9
49902	A Man Escaped	Un condamné à mort s'est échappé ou Le vent souffle où il veut	1956	101	14274	8.2
50083	12 Angry Men	12 Angry Men	1957	96	531384	8.9
50086	3:10 to Yuma	3:10 to Yuma	1957	92	15671	7.6
50105	An Affair to Remember	An Affair to Remember	1957	115	24230	7.6
50212	The Bridge on the River Kwai	The Bridge on the River Kwai	1957	161	170271	8.2
50371	A Face in the Crowd	A Face in the Crowd	1957	126	11067	8.2
50419	Funny Face	Funny Face	1957	103	21795	7.1
50468	Gunfight at the O.K. Corral	Gunfight at the O.K. Corral	1957	122	11503	7.2
50539	The Incredible Shrinking Man	The Incredible Shrinking Man	1957	81	13177	7.7
50613	Throne of Blood	Kumonosu-jô	1957	110	36153	8.1
50634	The Cranes Are Flying	Letyat zhuravli	1957	95	11798	8.3
50658	Love in the Afternoon	Love in the Afternoon	1957	130	11380	7.3
50706	Mon Oncle	Mon oncle	1958	117	15305	7.9
50783	The Nights of Cabiria	Le notti di Cabiria	1957	110	32545	8.2
50825	Paths of Glory	Paths of Glory	1957	88	140211	8.4
50976	The Seventh Seal	Det sjunde inseglet	1957	96	128838	8.2
50986	Wild Strawberries	Smultronstället	1957	91	73693	8.2
51036	Sweet Smell of Success	Sweet Smell of Success	1957	96	22514	8.2
51201	Witness for the Prosecution	Witness for the Prosecution	1957	116	78500	8.4
51207	The Wrong Man	The Wrong Man	1956	105	21297	7.5
